C2,H2,CAT,HX,C3,T,P,H2/C2,C3/C4,MI_Plant 
9293.943359,87.81851196,40.13183975,23381.18945,74.85258484,84.06233215,3.218318224,1.721655011,0.643769205,17.30674342
9314.352539,88.37384796,42.10411835,23573.20508,75.07623291,83.99475861,3.591229916,1.722518921,0.641716301,17.30789807
9295.041992,87.58442688,41.87220764,23053.76807,74.89196014,84.02263641,3.390232563,1.722518921,0.646136582,17.30914123
9295.071289,88.06506348,40.0225563,23435.22388,75.01953888,84.01437378,3.609799147,1.721519113,0.641489148,17.31047235
9306.032227,88.05416107,41.34601974,23389.39111,75.0941925,84.00799561,3.509099722,1.722518921,0.645688117,17.31189084
9298.073242,87.57395172,38.89796066,23188.79834,74.92125702,83.91065216,3.46280241,1.722518921,0.649793983,17.31339613
9303.618164,87.96130371,40.26034164,23449.46484,74.92723846,84.09256744,3.393569946,1.72959888,0.644511759,17.31498766
9289.640625,87.71990967,41.01369476,23248.02295,74.6160202,84.01767731,3.514218569,1.730606675,0.646753967,17.31666486
9293.916016,88.41182709,38.62868881,23469.36694,75.22460175,84.03681183,3.322179794,1.730673909,0.648416638,17.31842714
9301.110352,88.08628845,38.42572021,23552.26025,75.11024475,84.01437378,3.480969906,1.732745647,0.643009186,17.32027395
9293.891602,88.00373077,40.21054077,23373.40552,75.0072403,83.87403107,3.324538231,1.733691096,0.641535759,17.32220471
9287.427734,87.67683411,41.38838959,23488.8689,74.73414612,83.90970612,3.357887506,1.734638691,0.645461023,17.32421885
9282.620117,87.99986267,38.69809723,23390.93286,74.68909454,83.77385712,3.437131882,1.733691096,0.647449851,17.32631579
9302.506836,88.11251831,40.57184601,23513.82056,75.23026276,83.98696899,3.744474649,1.736601472,0.646031797,17.32849497
9293.574219,88.08855438,41.30276108,23251.41504,72.47087097,83.75874329,3.362127781,1.734638691,0.642886877,17.33075582
9290.083984,87.54255676,39.15413666,23237.9707,71.54256439,83.83694458,3.624478579,1.734704018,0.642164707,17.33309776
9299.657227,87.90702057,40.86800766,23404.94849,71.90922546,84.00704193,3.55125618,1.733628035,0.6408602,17.33552022
9291.083984,87.69610596,39.32785797,23204.67896,71.1762085,83.95908356,3.578809023,1.735651612,0.639817715,17.33802264
9301.307617,88.26335907,39.82912827,23461.71436,71.30126953,83.95813751,3.344386816,1.73419714,0.640918434,17.34060444
9299.450195,87.89975739,38.00737762,23531.88159,70.97367096,84.04508209,3.143991709,1.735651612,0.642164707,17.34326505
9297.015625,88.09539032,41.64599991,23416.12598,70.67378998,83.86812592,3.818374634,1.736601472,0.641535759,17.3460039
9295.984375,88.36883545,39.84115982,23434.80347,71.01556396,83.85347748,3.656121254,1.737616777,0.637744427,17.34882042
9300.536133,89.73231506,39.86405182,23492.18921,70.73648071,83.79536438,3.466942787,1.737684488,0.634541273,17.35171403
9283.143555,89.6763916,41.5614357,23080.30957,70.58653259,83.80174255,3.652959347,1.739586234,0.628490329,17.35468417
9310.363281,90.04961395,38.50053406,23520.31836,70.6233902,83.91750336,3.437909842,1.738748908,0.626387894,17.35773026
9292.591797,90.14661407,40.25720215,23675.05737,70.10962677,84.05051422,3.74653244,1.738748908,0.624221444,17.36085174
9304.041016,89.9331665,41.42561722,23239.15234,70.1795578,83.97278595,3.299244165,1.735651612,0.626236498,17.36404803
9291.250977,89.86364746,39.33926773,23396.64844,69.94109344,83.98743439,3.389956474,1.735588551,0.622643173,17.36731856
9292.601563,90.07001495,39.90605545,23383.72559,70.26901245,84.07933044,3.242081642,1.735651612,0.620569885,17.37066277
9292.452148,90.00208282,40.37567139,23358.65723,70.25830078,84.05405426,3.635820866,1.735651612,0.615002275,17.37408007
9299.06543,90.1368866,41.854496,23426.87134,70.35375214,84.04555511,3.808337212,1.734520793,0.614233494,17.3775699
9308.363281,90.21531677,39.66648483,23711.38428,70.49234772,84.09493256,3.607440233,1.734588504,0.608302891,17.38113169
9292.551758,89.93323517,40.76419067,23573.87476,69.45600128,84.0500412,3.552335262,1.734520793,0.604752243,17.38476486
9312.330078,90.27033997,40.54287338,23402.79395,70.30807495,84.13461304,3.475173473,1.734520793,0.605928659,17.38846885
9308.287109,91.27075958,38.71592712,23211.3291,70.12979126,83.91608429,3.504306793,1.735469937,0.608968735,17.39224309
9297.918945,91.86518097,40.82857513,23419.39453,69.96755981,84.11217499,3.677224398,1.738748908,0.603401124,17.39608699
9304.12793,91.95116425,40.20984268,23379.16992,70.03591919,84.05973053,3.650424957,1.742222905,0.602050006,17.4
9294.18457,91.54401398,39.80727386,23365.60303,69.91495514,83.95719147,3.555722952,1.745922565,0.597414196,17.40571332
9285.305664,91.50059509,37.34210968,23050.03223,69.70674133,83.90143585,3.658479929,1.744900584,0.5993011,17.41486774
9307.314453,92.13032532,40.74053955,23324.97559,69.97102356,84.0500412,3.731375933,1.743099809,0.592976451,17.42732705
9301.253906,92.31391144,41.43982315,23668.15137,69.9303894,83.98696899,3.478059292,1.747124076,0.590495467,17.44295504
9306.152344,92.10881042,39.45690918,23163.67261,69.78895569,83.98838043,3.48814702,1.747155428,0.588556111,17.46161553
9295.464844,91.87828064,41.69774246,23455.47314,69.80628204,84.07791901,3.50202322,1.747155428,0.58897543,17.48317229
9294.651367,91.93731689,39.36231613,23513.94189,69.65823364,83.88726807,3.357912302,1.746210694,0.589726686,17.50748912
9278.026367,91.58721161,39.33012009,23079.67041,69.84156036,83.96546173,3.426768303,1.750118613,0.587388396,17.53442982
9317.102539,92.32067871,40.41517639,23586.75684,70.07623291,83.94302368,3.662846327,1.749328732,0.5846017,17.56385819
9302.256836,92.01719666,38.82465363,23357.54785,70.12789917,83.99428558,3.472061872,1.751490831,0.578940928,17.59563802
9310.397461,92.55561066,39.33650208,23645.71753,69.81320953,84.01578522,3.451033592,1.752453685,0.580070734,17.6296331
9286.587891,91.85327148,39.82758713,23283.98022,69.51585388,83.98696899,3.412615776,1.749503493,0.575871706,17.66570724
9308.893555,92.08197021,41.32461548,23471.45728,70.10206604,83.98247528,3.71985817,1.752039909,0.576069772,17.70372422
9306.720703,92.93364716,39.03699875,23270.81958,69.96031189,84.00161743,3.703296661,1.754620314,0.574567199,17.74354783
9299.861328,93.83830261,40.06549454,23498.33447,69.95055389,84.01815033,3.43713212,1.755585909,0.574672043,17.78504189
9287.009766,93.68748474,40.95455933,23310.49365,69.79714203,83.93026733,3.608067513,1.756618142,0.578265369,17.82807018
9318.569336,94.32822418,38.70393753,23413.34814,70.33074951,83.96640778,3.311840773,1.759171605,0.57686764,17.87249649
9296.797852,93.58695221,40.04598236,23370.78687,69.62672424,83.98152924,3.630576134,1.759760499,0.573798418,17.91818462
9297.522461,93.94476318,41.21482468,23413.32861,69.86329651,83.98790741,3.375879288,1.766895771,0.571649432,17.96499837
9294.274414,93.84459686,39.38589478,23142.65356,69.89196014,83.99570465,3.377836466,1.768253922,0.571375728,18.01280154
9284.241211,93.87100983,40.12553787,23239.14478,69.68153381,84.07698059,3.44932723,1.769329667,0.570158482,18.06145791
